Customer ID,Recency,Frequency,Monetary,Cluster,Segment
12346.0,165,11,372.86,3,At-Risk / Loyal Fading
12347.0,3,2,1323.32,0,New / Promising
12348.0,74,1,222.16,2,Lost / Hibernating
12349.0,43,3,2671.14,3,At-Risk / Loyal Fading
12351.0,11,1,300.93,0,New / Promising
12352.0,11,2,343.8,0,New / Promising
12353.0,44,1,317.76,0,New / Promising
12355.0,203,1,488.21000000000004,2,Lost / Hibernating
12356.0,16,3,3560.3,3,At-Risk / Loyal Fading
12357.0,24,2,12079.99,3,At-Risk / Loyal Fading
12358.0,11,3,2719.01,3,At-Risk / Loyal Fading
12359.0,61,6,2563.36,3,At-Risk / Loyal Fading
12360.0,15,5,1590.83,3,At-Risk / Loyal Fading
12361.0,98,3,321.35,2,Lost / Hibernating
12362.0,374,1,130.0,2,Lost / Hibernating
12366.0,269,1,500.24,2,Lost / Hibernating
12368.0,264,1,917.6999999999999,2,Lost / Hibernating
12369.0,49,3,1791.15,3,At-Risk / Loyal Fading
12370.0,260,3,774.62,3,At-Risk / Loyal Fading
12371.0,45,3,2179.42,3,At-Risk / Loyal Fading
12373.0,260,2,763.0500000000001,2,Lost / Hibernating
12374.0,57,3,2246.29,3,At-Risk / Loyal Fading
12376.0,25,2,503.15,0,New / Promising
12377.0,17,2,1798.2,0,New / Promising
12378.0,198,1,1407.7,2,Lost / Hibernating
12379.0,58,2,767.98,3,At-Risk / Loyal Fading
12380.0,101,7,6951.49,3,At-Risk / Loyal Fading
12385.0,15,1,1938.4,0,New / Promising
12386.0,2,1,258.9,0,New / Promising
12387.0,51,1,143.94,2,Lost / Hibernating
12388.0,81,2,1120.45,3,At-Risk / Loyal Fading
12389.0,38,3,1433.33,3,At-Risk / Loyal Fading
12391.0,100,5,2285.18,3,At-Risk / Loyal Fading
12392.0,227,1,234.75000000000003,2,Lost / Hibernating
12393.0,18,2,816.85,0,New / Promising
12395.0,7,4,2048.64,1,Champions
12396.0,310,1,931.43,2,Lost / Hibernating
12399.0,21,3,853.65,0,New / Promising
12400.0,50,1,205.25,2,Lost / Hibernating
12402.0,28,5,1031.3,3,At-Risk / Loyal Fading
12403.0,157,1,591.6600000000001,2,Lost / Hibernating
12404.0,318,1,63.24,2,Lost / Hibernating
12406.0,35,3,2975.06,3,At-Risk / Loyal Fading
12408.0,21,3,1452.22,3,At-Risk / Loyal Fading
12409.0,56,4,12346.619999999999,3,At-Risk / Loyal Fading
12410.0,138,1,320.38,2,Lost / Hibernating
12411.0,45,1,346.9,0,New / Promising
12412.0,38,3,1370.05,3,At-Risk / Loyal Fading
12413.0,38,1,241.35,0,New / Promising
12414.0,99,3,390.0,2,Lost / Hibernating
12415.0,11,7,19543.84,1,Champions
12416.0,292,1,202.56,2,Lost / Hibernating
12417.0,46,11,3148.31,1,Champions
12418.0,49,3,1352.62,3,At-Risk / Loyal Fading
12419.0,21,2,503.01,0,New / Promising
12421.0,51,2,291.56,0,New / Promising
12422.0,30,14,4428.24,1,Champions
12423.0,23,2,763.08,0,New / Promising
12424.0,58,2,1579.07,3,At-Risk / Loyal Fading
12425.0,84,1,964.21,2,Lost / Hibernating
12426.0,298,1,762.48,2,Lost / Hibernating
12427.0,7,1,303.5,0,New / Promising
12429.0,1,5,3735.51,1,Champions
12431.0,9,13,4370.52,1,Champions
12433.0,2,5,7205.39,1,Champions
12434.0,17,1,297.29,0,New / Promising
12435.0,32,4,6096.04,3,At-Risk / Loyal Fading
12437.0,31,21,7731.99,1,Champions
12439.0,318,2,1142.88,2,Lost / Hibernating
12440.0,98,2,859.2,3,At-Risk / Loyal Fading
12441.0,2,1,173.55,0,New / Promising
12443.0,368,1,485.31,2,Lost / Hibernating
12445.0,56,1,301.58000000000004,2,Lost / Hibernating
12449.0,46,2,768.6,0,New / Promising
12450.0,35,3,490.32,0,New / Promising
12451.0,99,3,3634.36,3,At-Risk / Loyal Fading
12454.0,31,4,13151.44,1,Champions
12455.0,81,4,3413.09,3,At-Risk / Loyal Fading
12457.0,71,1,632.68,2,Lost / Hibernating
12458.0,63,2,830.09,3,At-Risk / Loyal Fading
12459.0,241,1,454.36,2,Lost / Hibernating
12460.0,92,1,326.65,2,Lost / Hibernating
12466.0,318,1,56.73,2,Lost / Hibernating
12467.0,59,1,132.8,2,Lost / Hibernating
12468.0,162,3,2941.2,3,At-Risk / Loyal Fading
12469.0,158,2,3070.54,3,At-Risk / Loyal Fading
12470.0,325,1,211.95,2,Lost / Hibernating
